Book Name,Price,Review
A Light in the Attic,51.77,"Amazing book with beautiful poems. I loved every page."
Tipping the Velvet,53.74,"Excellent story and well written."
Soumission,50.10,"Interesting concept but the ending was disappointing."
Sharp Objects,47.82,"A thrilling and engaging mystery."
Sapiens: A Brief History of Humankind,54.23,"One of the best books I have ever read."
The Requiem Red,22.65,"The plot was boring and predictable."
The Dirty Little Secrets of Getting Your Dream Job,33.34,"Very useful and practical advice."
The Coming Woman,17.93,"Inspiring and informative."
The Boys in the Boat,22.60,"Fantastic storytelling and emotional."
The Black Maria,52.15,"Not my type of book."
Starving Hearts,13.99,"Average story with weak characters."
Shakespeare's Sonnets,20.66,"A timeless masterpiece."
Set Me Free,17.46,"Heartwarming and enjoyable."
Scott Pilgrim's Precious Little Life,52.29,"Funny, entertaining and creative."
Rip it Up and Start Again,35.02,"Very informative for music lovers."
Our Band Could Be Your Life,57.25,"Excellent history of indie music."
Olio,23.88,"Beautiful poetry and creative writing."
Mesaerion,37.59,"Confusing but imaginative."
Libertarianism for Beginners,51.33,"Easy to understand and educational."
It's Only the Himalayas,45.17,"Wonderful travel experience and inspiring."
